Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10490435,2,"Monday, June 11, 2012 15:09:09 UTC",53.0433,-173.0280,3.1,228.40,26,"Andreanof Islands, Aleutian Islands, Alaska"
hv,60358266,1,"Monday, June 11, 2012 14:16:11 UTC",19.4028,-155.2838,2.6,1.00,12,"Island of Hawaii, Hawaii"
hv,60358261,1,"Monday, June 11, 2012 13:42:11 UTC",19.0498,-155.3632,3.1,35.20,46,"Island of Hawaii, Hawaii"
us,b000acvr,A,"Monday, June 11, 2012 13:31:47 UTC",6.7452,123.7345,4.9,618.30,144,"Moro Gulf, Mindanao, Philippines"
ak,10490384,1,"Monday, June 11, 2012 12:35:28 UTC",62.1698,-151.9396,2.6,99.70,44,"Central Alaska"
us,b000acru,4,"Monday, June 11, 2012 11:12:47 UTC",-27.5051,-176.7635,4.6,37.90,43,"Kermadec Islands region"
hv,60358236,1,"Monday, June 11, 2012 11:11:34 UTC",19.1672,-155.4652,2.5,45.60,13,"Island of Hawaii, Hawaii"
us,b000acqy,5,"Monday, June 11, 2012 10:33:12 UTC",40.1258,142.5154,4.6,58.80,24,"near the east coast of Honshu, Japan"
ak,10490364,2,"Monday, June 11, 2012 10:18:26 UTC",50.7177,-179.4907,2.5,25.60,17,"Andreanof Islands, Aleutian Islands, Alaska"
us,b000acqd,3,"Monday, June 11, 2012 09:50:57 UTC",-37.0746,-73.5665,4.5,17.90,25,"offshore Bio-Bio, Chile"
us,b000acnm,7,"Monday, June 11, 2012 08:32:52 UTC",36.3130,69.3932,4.2,10.00,21,"Hindu Kush region, Afghanistan"
us,b000acnk,8,"Monday, June 11, 2012 08:20:37 UTC",17.3500,146.2928,4.6,97.80,109,"Alamagan region, Northern Mariana Islands"
pr,12163001,0,"Monday, June 11, 2012 07:24:41 UTC",19.7145,-68.5035,3.2,82.60, 6,"Dominican Republic region"
us,b000acmf,9,"Monday, June 11, 2012 05:29:14 UTC",36.0820,69.3160,5.7,15.00,203,"Hindu Kush region, Afghanistan"
us,b000acm6,9,"Monday, June 11, 2012 05:02:17 UTC",36.0480,69.3020,5.4,15.00,116,"Hindu Kush region, Afghanistan"
ak,10490287,2,"Monday, June 11, 2012 04:33:17 UTC",54.8498,-157.2769,2.5,29.60,12,"south of Alaska"
ci,15163033,1,"Monday, June 11, 2012 04:24:39 UTC",34.2542,-116.4285,2.7,0.10,108,"Southern California"
nc,71799561,3,"Monday, June 11, 2012 04:20:26 UTC",38.0862,-119.1448,3.2,7.50,58,"Central California"
pr,12163000,0,"Monday, June 11, 2012 02:42:32 UTC",19.6634,-64.7693,3.4,41.50,12,"Virgin Islands region"
